Title,Publisher,Published,Downloads,Pages,Category
Profiles in Leadership,Central Intelligence Agency,14-Feb,535,61,History
Trouthe is the Highest Thing,Robert B. Waltz,14-Jan,231,85,History
King Alfred's Viking,Charles W. Whistler,14-Jan,1157,139,History
The Story of the Greeks,H. A. Guerber,14-Jan,1173,101,History
The Story of Geographical Discovery: How the World Became Known,Joseph Jacobs,13-Dec,1101,83,History
Peter Parley's Tales about America and Australia,Samuel Griswold Goodrich,13-Dec,373,90,History
Outline of US History,U.S. Department of State,13-Dec,2268,380,History
Historical World Atlas,Patrick K. O'brien,13-Dec,1333,312,History
USA Literature in Brief,Kathryn Vanspanckeren,13-Dec,256,56,History
Historians on America,"Doug Linder, Carl F. Kaestle, et al",13-Dec,303,92,History
The Long March of Progress,Mahmood Hasan Khan,13-Oct,1628,576,History
Prospects to Prosperity: The Story of Oklahoma's Oil & Gas Industry,Bob Burke and Eric Dabney,13-Oct,319,358,History
King Tut,Egyking,13-Aug,2038,18,History
The Gest of Robyn Hode: A Critical and Textual Commentary,Robert B. Waltz,13-May,3448,617,History
The Minnesota Heritage Songbook,Robert B. Waltz,13-May,151,82,History
The Bible in History,Robert B. Waltz,13-Apr,6359,638,History
Treason: The Violation of Trust,Janet Hudgins,12-Nov,1884,245,History
The exploration of the world (1882),Jules Verne,12-Aug,462,50,History
Sephardic Farewell/Ancestors,Joseph Hobesh,12-Jul,2815,50,History
"When You Ride Alone, You Ride With Hitler!",Bill Edwards,12-Apr,2924,35,History
God of Hunger,John Coutouvidis,12-Jan,4735,208,History
The Intent,Jurgen Beck,11-Nov,3271,161,History
The White Company,Sir Arthur Conan Doyle,11-Oct,9316,50,History
Silence of a Soldier,William J. Duggan,11-Sep,9472,43,History
La Fase Oculta de la Guerra Civil en Costa Rica,Jacobo Schifter,11-Jul,316,151,History
Hitler en Centroamérica,Jacobo Schifter,11-Jun,4199,274,History
Hitler in Central America,Jacobo Schifter,11-Jun,42453,281,History
The United States Coast Guard 1790 to the Present - A History,Thomas P. Ostrom,11-Mar,8910,133,History
The United States Coast Guard on the Great Lakes,Thomas P. Ostrom,11-Mar,7730,98,History
Betty Zane,Zane Grey,10-Aug,27261,214,History
The Spirit of the Border,Zane Grey,10-Aug,16740,214,History
My Life in Paris,Anna Belle,10-Aug,14355,3,History
Sovereignty over the Paracel and Spratly Islands,Monique Chemillier-Gendreau,10-Aug,11751,249,History
Over the Top with the Third Australian Division,G. P. Cuttriss,10-Aug,8931,53,History
The Retro Express,Jack Joseph de Roco,10-Mar,11928,39,History
Learning To Walk - A Soldier's Story,Clifford Beck,26-Mar,0,239,Drama
The Blackfire Protocol,Clifford Beck,26-Mar,0,228,Drama
"The Bayou Sisters Saga: A Story of Love, Corporate Evil, and the Extraordinaire Bayou Family",Andre Michael Pietroschek,26-Feb,3,65,Drama
Netenyahu of the 16th Century,The Protected by Allah,26-Feb,3,286,Drama
Who's Watching Who?,Edward Drobinski,26-Jan,11,372,Drama
The Cain In The Field,Martin Francom,25-Dec,29,420,Drama
The Bureau of Dreams to be Continued,Edward Drobinski,25-Nov,8,771,Drama
Captive of the sea,Brandon McYntire,25-Oct,8,20,Drama
Sudetenland Tales,Edward Drobinski,25-Aug,17,615,Drama
A Bird Alone,Ericka Clay,25-Aug,17,250,Drama
Dear Hearts,Ericka Clay,25-Aug,59,110,Drama
A Violent Hope,Ericka Clay,25-Jul,41,246,Drama
Unkept,Ericka Clay,25-Jul,29,256,Drama
Damaged Goods,Diane McNab,25-May,34,129,Drama
Twin Advent,Edward Drobinski,25-Feb,101,159,Drama
The Last Gasps of Indian Summer,Edward Drobinski,25-Feb,60,1483,Drama
Seven Stud,Edward Drobinski,25-Feb,36,211,Drama
Wilbur,Edward Drobinski,25-Feb,35,148,Drama
